facility_uuid,state,lga,facility,domains_with_a_major_gap
1b45ae17-ceaa-48f6-a4d4-0eaa0ff93fda,bauchi,giade,jugudu_primary_health_centre,Workforce Capacity
48e9e76d-af00-404b-a836-0bf331dbef17,anambra,njikoka,ezi_amaigbo_abagana_primary_health_centre,Workforce Capacity
0ab1546f-500a-4b30-96ac-75df9935b26d,anambra,njikoka,urunnebo_primary_health_centre,Workforce Capacity
6e5be00c-5da8-4ab1-9385-be70248d3c1e,kano,tarauni,yar_akwa_health_post,Workforce Capacity; Workflow and Transition; Data Use and Reporting
c34d5f87-3ec4-4116-b4bb-b98de6131b46,kano,kibiya,kibiya_primary_health_centre,Workflow and Transition
23b7746f-f462-4509-8306-be891a714e5d,kano,nassarawa,kaura_goje_primary_health_centre,Workforce Capacity; Workflow and Transition
d9afc64a-5e16-4055-ac8a-f78f6095056b,anambra,idemili_south,oba_1_primary_health_centre,Workforce Capacity
5e794379-2d40-4dd0-9655-1221eca5c923,anambra,idemili_south,akwaukwu_primary_health_centre,Workforce Capacity
fe98ee0e-3f18-4b9a-8760-ca01641d1df1,kano,tofa,lambu_basic_health_clinic,Workforce Capacity
79b115ce-c424-4d83-863e-754ef2bba05c,anambra,anaocha,umuabani_primary_health_centre,Workforce Capacity
98b0b6cc-d6bb-499b-8b98-cd338be97e8d,anambra,ihiala,achalla_uzoakjwa_primary_health_centre,Workforce Capacity
117407fd-3d7c-42f0-8706-d056ec4ba5f2,kano,dawakin_tofa,kwa_primary_health_centre,Workforce Capacity; Workflow and Transition
525e25a9-2ca7-4235-a810-10fcfd56ca9f,kano,dawakin_tofa,dandalama_primary_health_centre,Workforce Capacity; Workflow and Transition
5f64cff4-b675-4761-a9fa-e18cdd8a37b5,kano,dawakin_tofa,ganduje_primary_health_centre,Workforce Capacity; Workflow and Transition
ae631ea2-a012-40fe-9e9a-24ef691d805f,niger,borgu,guffanti_primary_health_centre,Workforce Capacity
f5d9ed68-d895-429c-b484-e87a44cb50c3,anambra,onitsha_north,immanuel_church_health_post,Data Use and Reporting
6ddf291a-04e3-452f-8a14-89324c5a4945,anambra,idemili_south,ebenesi_nnobi_primary_health_centre,Workforce Capacity
59d7ddfa-7837-4d8f-8ff8-3ff4b1152f42,anambra,anaocha,ukunu_primary_health_centre,Workforce Capacity
