Facility UUID,State,LGA,Facility name,Gap area,Gap condition,Intervention,When action is needed
4c02cfa8-ac4d-4e94-9def-599800384da4,anambra,awka_south,ezeawulu_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
ef56697a-e604-4d5a-af32-8e2de12af7ba,anambra,awka_south,umuokpu_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
1f02ab3c-3096-452b-99b2-69c62c33e2c8,kano,tsanyawa,yanganau_health_post,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
d3c65d80-7d39-44ef-945e-f02b976bfd20,kano,tsanyawa,tsanyawa_comprehensive_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
736d27cc-daa9-48ff-b4f2-43d4e83d93fd,kano,tsanyawa,yankamaye_sabon_gari_basic_health_clinic,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
9b209c95-97b8-4624-9756-6f8d3a2e1321,adamawa,lamurde,lafiya_waja_clinic,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
ef76027b-63eb-4416-9776-24ae7a907a41,adamawa,lamurde,rigange_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
0d4360b1-ef88-4ce1-8c94-1ab8f5b9d248,adamawa,lamurde,lamurde_maternal_and_child_health,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
1f77ffa1-eea3-46b6-86db-6c01d6a06cd5,bauchi,dass,bazali_same_as_polchi_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
3df4d5fb-02ff-402a-a2ed-91494eb8c011,kano,tudun_wada,baburi_health_post,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
0e927f92-db60-4f78-8994-9988bc275442,nasarawa,keffi,a_ninzo_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
6ee935b4-fff2-43c3-ac30-80e4731e364d,nasarawa,keffi,k_mada_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
1c54d3ea-49a9-43eb-b6e2-7c3f041943ae,nasarawa,keffi,sabon_gari_primary_health_centre_nasarawa,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
09b4cf87-b5d3-4f17-926a-8406ead8769f,niger,mokwa,wupo_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
dab2a8ca-ecf9-4777-bc67-8492175873ee,adamawa,mubi_north,wuro_alkali_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
8227bfce-8c7a-4713-b7ee-1bbd55a112af,kano,minjibir,wasai_health_post,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
6933b089-1a91-4763-b9a7-c1d4291505bf,kano,minjibir,kuru_health_post,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
60aea1d5-41ef-4166-802e-02a4d44d7e78,kano,minjibir,kunya_sambawa_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
985d8c84-5b1d-4a11-8d9f-d8f8ee2fe585,niger,mokwa,kpaki_basic_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
86b2ed4e-194e-42c1-8d9f-08d5f97b1ae5,nasarawa,nasarawa_eggon,kwari_eha_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
92622619-6a31-4025-80bd-8c0c2f7c7357,nasarawa,nasarawa_eggon,mada_station_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
b7f2ffbd-440d-4013-abaf-bb6edef3b059,nasarawa,nasarawa_eggon,iggah_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
cabc6c55-65af-400a-b0e2-f48db2e6feb6,kano,tudun_wada,burum_burum_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
9743e4b6-168a-4daa-9df5-a0de81446722,nasarawa,nasarawa_eggon,langalanga_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
1477c493-8d06-4fe8-a59d-69e6618e534d,bauchi,dambam,tale_health_clinic,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
15d9d257-88fc-4418-9736-be4bbb61111a,niger,mokwa,kudu_basic_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
1f775836-6035-4ae4-b9ce-fb7895064218,bauchi,katagum,urban_k_kaji_maternity_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
8041e8de-d476-4f3b-8cd8-6939f8f0bbe1,bauchi,katagum,matsango_azare_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
9fe37c4a-70c2-4859-8407-a10d6cc777ee,niger,borgu,malale_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
a94a7935-bd6c-4919-8e15-78894ec7e2bc,anambra,anambra_west,umuonuorah_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
2b13909e-bdae-49da-8075-a19e3d32bff6,nasarawa,keffi,ang_jaba_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
d176f58f-9b8e-4dd2-a4f2-7006ab22f75f,nasarawa,nasarawa,oversea_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
1e0a35a7-fe78-436a-9f88-ea79307fde14,oyo,ibadan_south_west,oke_bola_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
e3738d06-f490-4052-9355-094d3b5717d2,adamawa,shelleng,bodwai_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
